,@id,ontology#hasLegend_reverse,deities_candidates,description_reverse
128,http://numismatics.org/ocre/id/ric.5.gall(1).447c,PIETAS AVGG,['Pietas'],"Gallienus and Valerian, standing face to face, sacrificing at altar; right figure holding patera in right hand and parazonium in left hand (?); left figure holding patera in right hand and eagle-tipped sceptre in left hand"
142,http://numismatics.org/ocre/id/ric.3.ant.292A_denarius,VOTA SOL DECENN II COS IIII,"['Sol', 'Sol Invictus']","Antoninus Pius, veiled, togate. standing left, sacrificing out of patera in right hand over tripod-altar left, and holding roll in left hand at side: beside altar, a prostrate bulleft"
685,http://numismatics.org/ocre/id/ric.1(2).vit.150,PROVIDENT S C,['Providentia'],Altar enclosure with double paneled door and projections at top corners
881,http://numismatics.org/ocre/id/ric.1(2).aug.56A,FORTVN REDVC CAESARI AVG S P Q R,"['Fortuna', 'Fortuna Felix', 'Fortuna Victrix']",Legend in three lines inscribed on rectangular altar
1024,http://numismatics.org/ocre/id/ric.3.m_aur.761,CONCORDIA,['Concordia'],Square altar
1216,http://numismatics.org/ocre/id/ric.3.ant.1191B_dupondius,PIET AVG S C,['Pietas'],"Rectangular altar, with door in front."
1473,http://numismatics.org/ocre/id/ric.4.tr_d.90,CONSECRATIO,"['Constantia', 'Constantinopolis']","Rectangular altar, with four panels in front, lighted"
1646,http://numismatics.org/ocre/id/ric.1(2).aug.363,C ANTIST VETVS FOR DVS P R QVM GABINIS,['Antioch'],Two veiled priests holding pig over altar right
1793,http://numismatics.org/ocre/id/ric.2_1(2).ves.1271,PROVIDENT S C,['Providentia'],"Garlanded rectangular altar, on which are palmettes and volutes, right and left of raised slab in center; in front, door with four panels"
1794,http://numismatics.org/ocre/id/ric.4.el.191b,INVICTVS SACERDOS AVG,['Victory'],"Elagabalus, in Syrian priestly robes, standing left, sacrificing out of patera in right hand over lighted altar, and holding upright club in left hand; behind altar, a bull lying down; in field, star"
1932,http://numismatics.org/ocre/id/ric.2_1(2).dom.225,SALVTI AVGVST S C,"['Salus', 'Salus Augusta']","Rectangular altar with three steps, door with four panels, horns at ends"
2215,http://numismatics.org/ocre/id/ric.5.car.127,CONSECRATIO,"['Constantia', 'Constantinopolis']",Altar
2245,http://numismatics.org/ocre/id/ric.1(2).gal.209,SALVS GEN HVMANI,"['Salus', 'Salus Augusta']","Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left"
2367,http://numismatics.org/ocre/id/ric.1(2).aug.56B,FORTVN REDVC CAESARI AVG S P Q R,"['Fortuna', 'Fortuna Felix', 'Fortuna Victrix']",Legend in three lines inscribed on rectangular altar
2376,http://numismatics.org/ocre/id/ric.5.gall(1).9,CONSECRATIO,"['Constantia', 'Constantinopolis']",Altar
2407,http://numismatics.org/ocre/id/ric.5.cg.257,CONSAECRATIO,"['Constantia', 'Constantinopolis', 'Saeculum Frugiferum']",Altar
2520,http://numismatics.org/ocre/id/ric.4.el.350,INVICTVS SACERDOS AVG S C,['Victory'],"Elagabalus, in Syrian priestly robes, standing right, sacrificing out of patera in right hand over lighted altar, holding club in left hand; behind altar, bull crouching; something in field, star"
2536,http://numismatics.org/ocre/id/ric.3.ant.1147,PIETAS AVG S C,['Pietas'],"Peitas, standing right, hand at side, dropping incense on altar, right"
2704,http://numismatics.org/ocre/id/ric.4.el.371,SACERD DEI SOLIS ELAGAB S C,['Sol'],"Elagabalus, in Syrian priestly robes, standing left, sacrificing out of patera in right hand over lighted altar, holding cypress-branch in left hand; in field, star"
2921,http://numismatics.org/ocre/id/ric.1(2).gal.499,PROVIDENT S C,['Providentia'],Altar enclosure with double paneled door and various ornaments
3074,http://numismatics.org/ocre/id/ric.3.ant.292B,VOTA SOL DECENN II COS IIII,"['Sol', 'Sol Invictus']","Antoninus Pius, veiled, togate. standing left, sacrificing out of patera in right hand over tripod-altar left, and holding roll in left hand at side: beside altar, a prostrate bulleft"
3114,http://numismatics.org/ocre/id/ric.5.tet_i.167,CONSECR or CONSECRA,"['Constantia', 'Constantinopolis']",Altar
3420,http://numismatics.org/ocre/id/ric.4.ss.881_as,MATER CASTRORVM S C,['Castor'],"Julia Domna, diademed and veiled, draped, standing left, sacrificing out of patera in right hand over altar, holding caduceus in left hand; in front, three standards"
3728,http://numismatics.org/ocre/id/ric.5.cg.188,RESTIT [PIETAT]IS,['Pietas'],"Claudius Gothicus, standing left, sacrificing out of patera held in right hand at altar, and holding sceptre in left hand"
3781,http://numismatics.org/ocre/id/ric.4.ge.134b,CONCORDIA AVGVSTORVM S C,['Concordia'],"Caracalla and Geta, veiled, standing right and left facing each other, sacrificing over altar in centre; the one on the left holds roll, the one on the right holds baton (sword?)"
4013,http://numismatics.org/ocre/id/ric.2_1(2).tit.449,IMP T VESP AVG REST S C PROVIDENT,['Providentia'],Altar
4121,http://numismatics.org/ocre/id/ric.3.com.272,CONSECRATIO,"['Constantia', 'Constantinopolis']","Eagle, standing right on garlanded altar, head left"
4540,http://numismatics.org/ocre/id/ric.2_1(2).ves.1234,PROVIDENT S C,['Providentia'],"Rectangular altar, on which are palmettes and volutes, right and left of raised slab in center; in front, door with four panels"
4701,http://numismatics.org/ocre/id/ric.3.ant.291B,VOTA SOL DEC II COS IIII,"['Sol', 'Sol Invictus']","Antoninus Pius, veiled, togate. standing left, sacrificing out of patera in right hand over tripod-altar left, and holding roll in left hand at side: beside altar, a prostrate bulleft"
4703,http://numismatics.org/ocre/id/ric.2_1(2).ves.1200,PROVIDENT S C,['Providentia'],Altar
4870,http://numismatics.org/ocre/id/ric.2_1(2).tit.456,IMP T CAES AVG REST S C PROVIDENT,['Providentia'],Altar
4898,http://numismatics.org/ocre/id/ric.4.el.133,SACERD DEI SOLIS ELAGAB,['Sol'],"Elagabalus, in Syrian priestly robes, standing right, sacrificing out of patera in right hand over lighted altar, holding upright club in left hand"
4920,http://numismatics.org/ocre/id/ric.2_1(2).ves.671,PROVIDENT S C,['Providentia'],Altar
4953,http://numismatics.org/ocre/id/ric.4.tr_d.86B,CONSECRATIO,"['Constantia', 'Constantinopolis']","Rectangular altar, with four panels in front, lighted"
5415,http://numismatics.org/ocre/id/ric.5.val_ii.24,CONSECRATIO,"['Constantia', 'Constantinopolis']",Altar
5638,http://numismatics.org/ocre/id/ric.4.gor_iii.324,VICTORIA AVG,['Victory'],"Gordian III, veiled, togate, standing left, sacrificing out of patera in right hand over altar, accompanied by an attendant; in background, round tretrastyle temple, NEIKH OΠΛOΦOPOC; to left, victimarius raising arm to strike bull; in centre of temple, statue holding spear"
